,Treatment,Season,Habitat
A_P_May,Perennial,wet,Pool
A_P_Jun,Perennial,wet,Pool
A_P_Jul,Perennial,wet,Pool
A_P_Aug,Perennial,wet,Pool
A_P_Sept,Perennial,wet,Pool
A_P_Oct,Perennial,wet,Pool
A_P_Nov,Perennial,dry,Pool
A_P_Dec,Perennial,dry,Pool
A_P_Jan,Perennial,dry,Pool
A_P_Feb,Perennial,dry,Pool
A_P_Mar,Perennial,dry,Pool
A_P_Apr,Perennial,dry,Pool
B_P_May,Intermintent,wet,Pool
B_P_Jun,Intermintent,wet,Pool
B_P_Jul,Intermintent,wet,Pool
B_P_Aug,Intermintent,wet,Pool
B_P_Sept,Intermintent,wet,Pool
B_P_Oct,Intermintent,wet,Pool
B_P_Nov,Intermintent,dry,Pool
B_P_Dec,Intermintent,dry,Pool
B_P_Jan,Intermintent,dry,Pool
B_P_Feb,Intermintent,dry,Pool
B_P_Mar,Intermintent,dry,Pool
B_P_Apr,Intermintent,dry,Pool
A_R_May,Perennial,wet,Riffle
A_R_Jun,Perennial,wet,Riffle
A_R_Jul,Perennial,wet,Riffle
A_R_Aug,Perennial,wet,Riffle
A_R_Sept,Perennial,wet,Riffle
A_R_Oct,Perennial,wet,Riffle
A_R_Nov,Perennial,dry,Riffle
A_R_Dec,Perennial,dry,Riffle
A_R_Jan,Perennial,dry,Riffle
A_R_Feb,Perennial,dry,Riffle
A_R_Mar,Perennial,dry,Riffle
A_R_Apr,Perennial,dry,Riffle
B_R_May,Intermintent,wet,Riffle
B_R_Jun,Intermintent,wet,Riffle
B_R_Jul,Intermintent,wet,Riffle
B_R_Aug,Intermintent,wet,Riffle
B_R_Sept,Intermintent,wet,Riffle
B_R_Oct,Intermintent,wet,Riffle
B_R_Nov,Intermintent,dry,Riffle
B_R_Dec,Intermintent,dry,Riffle
B_R_Jan,Intermintent,dry,Riffle
B_R_Feb,Intermintent,dry,Riffle
B_R_Mar,Intermintent,dry,Riffle
B_R_Apr,Intermintent,dry,Riffle
